id_cliente;qtd_atendimentos;data_ultimo_atendimento;valor_total_atendimentos;qtd_produtos_vendidos;data_ultima_venda_produto;valor_total_venda_produtos;qtd_pacotes_vendidos;data_ultima_venda_pacote;valor_total_venda_pacotes;valor_total_vendas;valor_total_pendente_conta_aberta;valor_total_pendente_notas_abertas
6897376;0;;0;0;;0;0;;0;0;270.00;0
6899313;0;;0;0;;0;0;;0;0;225.00;0
6899418;0;;0;0;;0;0;;0;0;35.00;0
6902594;0;;0;0;;0;0;;0;0;415.00;0
6903755;0;;0;0;;0;0;;0;0;815.00;0
6904427;0;;0;0;;0;0;;0;0;1748.00;0
6906492;0;;0;0;;0;0;;0;0;215.00;0
6906774;0;;0;0;;0;0;;0;0;780.00;0
6910486;0;;0;0;;0;0;;0;0;135.00;0
6911087;0;;0;0;;0;0;;0;0;705.00;0
6916392;0;;0;0;;0;0;;0;0;2342.00;0
6916892;0;;0;0;;0;0;;0;0;495.00;0
6917423;0;;0;0;;0;0;;0;0;45.00;0
6917442;0;;0;0;;0;0;;0;0;890.00;0
6917583;0;;0;0;;0;0;;0;0;805.00;0
6917584;0;;0;0;;0;0;;0;0;2150.00;0
6923622;0;;0;0;;0;0;;0;0;265.00;0
6929733;0;;0;0;;0;0;;0;0;495.00;0
6930918;0;;0;0;;0;0;;0;0;105.00;0
6931814;0;;0;0;;0;0;;0;0;1125.00;0
6937643;0;;0;0;;0;0;;0;0;430.00;0
6938272;0;;0;0;;0;0;;0;0;505.00;0
6953078;0;;0;0;;0;0;;0;0;765.00;0
6964770;0;;0;0;;0;0;;0;0;105.00;0
6968157;0;;0;0;;0;0;;0;0;225.00;0
6969254;0;;0;0;;0;0;;0;0;1055.00;0
6969970;0;;0;0;;0;0;;0;0;980.00;0
6971666;0;;0;0;;0;0;;0;0;340.00;0
6976902;0;;0;0;;0;0;;0;0;800.00;0
6979254;0;;0;0;;0;0;;0;0;940.00;0
6979571;0;;0;0;;0;0;;0;0;610.00;0
6981459;0;;0;0;;0;0;;0;0;180.00;0
6981632;0;;0;0;;0;0;;0;0;580.00;0
6985047;0;;0;0;;0;0;;0;0;35.00;0
6985389;0;;0;0;;0;0;;0;0;35.00;0
6988701;0;;0;0;;0;0;;0;0;45.00;0
